team,item1,rate1,item2,rate2,item3,rate3
女子選抜チーム,セキュリティシューズ,75,てっぺきのグローブ,50,守りのペンダント銅,10
ネオジャパン,ネオジャパンスパイク,30,ネオジャパングローブ,20,戦士たちのほこり,40
ネオジャパン改,ネオジャパンスパイク,30,ネオジャパングローブ,20,守りのペンダント銀,8
ビッグウェイブス,大津波のスパイク,30,大津波のグローブ,20,力のペンダント銅,10
デザートライオン,Ｄライオンシューズ,30,Ｄライオングローブ,20,守りのペンダント銅,15
ファイアードラゴン,火竜のスパイク,30,火竜のグローブ,20,アジア予選の思い出,40
アジア代表,きこうしのウェア,20,力のペンダント銀,10,守りのペンダント銀,10
ナイツオブクィーン,ナイツスパイク,25,ナイツグローブ,20,イケイケ！,5
ジ・エンパイア,エンパイアウェア,15,エンパイアシューズ,25,エンパイアグローブ,20
ユニコーン,ユニコーンスパイク,25,ユニコーングローブ,20,古びたピンバッチ,5
オルフェウス,力のペンダント銀,10,オルフェウスシューズ,25,オルフェウスグローブ,20
ザ・キングダム,キングダムスパイク,25,キングダムグローブ,20,シュートプラス,3
リトルギガント,Lギガントウェア,15,コトアールシューズ,20,コトアールグローブ,15
チーム・ガルシルド,やぼうのスパイク,30,やぼうのグローブ,20,スピードプラス,3
千羽山,千羽山ウェア,30,千羽山スパイク,45,千羽山グローブ,40
秋葉名戸,秋葉ウェア,30,秋葉名戸スパイク,60,秋葉名戸グローブ,40
戦国伊賀島,戦国ウェア,30,ニンジャスパイク,45,ニンジャグローブ,40
傘美野,傘美野ウェア,30,傘美野スパイク,60,傘美野グローブ,40
大海原,大海原中ウェア,20,マリンスパイク,45,イプシロン改チケット,40
野生,野生中ウェア,30,ワイルドスパイク,60,ワイルドグラブ,40
御影専農,御影ウェア,30,御影専農スパイク,60,御影専農グローブ,40
白恋,白恋ウェア,20,せつげんのスパイク,50,きたぐにのグローブ,35
尾刈斗,尾刈斗ウェア,30,のろいのスパイク,60,のろいのグローブ,40
漫遊寺,漫遊寺ウェア,20,たんれんスパイク,50,クンフーグローブ,35
帝国,帝国ウェア,20,帝国スパイク,45,帝国グローブ,40
陽花戸,陽花戸ウェア,20,ゆうぐれシューズ,45,サンセットグローブ,35
木戸川,木戸川ウェア,20,木戸川スパイク,45,木戸川グローブ,40
チームＫ,ふくしゅうのスパイク,30,ふくしゅうのグローブ,20,みんなイケイケ！,1
真・帝国学園,真・帝国学園ウェア,20,しっこくのスパイク,50,つわもののグローブ,35
世宇子,世宇子ウェア,10,ディバインスパイク,45,ディバイングローブ,40
ウラゼウス,世宇子ウェア,20,守りのペンダント銀,10,力のペンダント銀,10
ジェミニストーム,力のペンダント銅,20,ほしくずのシューズ,50,ミクログローブ,35
イプシロン,守りのペンダント銅,20,わくせいのシューズ,40,マクログローブ,30
イプシロン改,力のペンダント銀,10,わくせいのシューズ,40,マクログローブ,30
ザ・ジェネシス,守りのペンダント銀,10,うちゅうのスパイク,30,ビッグバンハンド,25
オーガ,ちょうわざ！,3,オーガスパイク,3,オーガグローブ,8
ガイア,スポットウェア,5,ブレインスパイク,30,スーパーノヴァ,5
警備マシンズ,警備マシンズウェア,10,しんくうスパイク,50,うらぎりのグローブ,35
エイリアＡ,スペースウェア,20,力のペンダント金,3,セツヤク！,3
エイリアＢ,げっこうのウェア,20,守りのペンダント金,3,シュートプラス,3
ゴッドエンジェル,ホライゾンウェア,20,守りのペンダント金,3,ぞくせいきょうか,3
樹海チーム,メイズスパイク,2,しんりんのグローブ,50,古びたピンバッチ,8
キャッピキャピＡ,セーラーウェア,10,力のペンダント金,3,むぞくせい,3
ザ・ビッグ,がんじょうウェア,10,コロドラシュート,35,イケメンUP！,3
スーパーアニマルズ,ゆうやけのウェア,20,守りのペンダント金,3,ディフェンスフォース,1
ＦＦ地区選抜Ｂ,スペースウェア,15,力のペンダント金,3,ちょうわざ！,3
ＦＦ全国選抜Ｂ,マーシャルウェア,20,守りのペンダント金,3,ぞくせいきょうか,3
ＳＰフィクサーズ,SPウェア,15,セキュリティシューズ,50,てっぺきのグローブ,35
全国チーム選抜Ｂ,ブイサインウェア,10,ウエイクスパイク,30,オフェンスプラス,3
アナザーカラーズ,スリースターウェア,20,力のペンダント金,3,ちょうわざ！,3
大阪ギャルズ,大阪ギャルズウェア,15,ナニワのスパイク,50,おとめのグローブ,35
イナズマ’０９,マルチユーズウェア,20,守りのペンダント金,3,リカバリー,3
鬼道ホワイツ,しんくうま,25,ふうじんのまい,25,ばくねつスクリュー,15
ファースト雷門,ローズスプラッシュ,35,ムゲン・ザ・ハンド,15,ばくねつストーム,25
南米代表,ごくじょうのおでん,40,守りのペンダント金,3,リカバリー,3
ローズグリフォン,Rグリフォンウェア,30,シャンパンシューズ,30,シャンパングローブ,20
レッドマタドール,マタドールウェア,30,アルマダスパイク,30,アルマダグローブ,20
ヨーロッパ代表,マタドールフェイント,25,スリングショット,25,オフェンスフォース,1
グループＢ選抜,しんしのウェア,15,エッフェルドライブ,25,Ｕ・ボート,25
アフリカ代表,ごくじょうのおでん,40,ライアーショット,25,スピードプラス,5
世界代表,ブイサインウェア,15,ゴッドハンドX,25,Ｘブラスト,5
ザ・フォワーズ,ほのおのウェア,10,エッフェルドライブ,25,シュートフォース,1
タイニーガール,フロッグウェア,15,コロドラシュート,35,ディフェンスプラス,3
ファイアスパーク,プロミネンスウェア,10,しゃくねつスパイク,30,コロナハンド,20
タカビーズ,セーラーウェア,10,守りのペンダント金,3,スピードフォース,1
Ｍ・Ｏ・Ｅ,じゅんじょうウェア,10,力のペンダント金,3,おいろけUP！,3
ライモンアール,スマートウェア,5,ザ・ハリケーン,15,古びたピンバッチ,5
セレブリティーズ,しんしのウェア,15,力のペンダント金,3,ディフェンスフォース,1
ザ・ウインディーズ,ふうじんのまい,25,スノーエンジェル,25,クロスファイア1,5
ザ・ミッズ,スティンガー,35,ライアーショット,25,ネバーギブアップ,5
ゾディアックス,いちばんぼしウェア,20,力のペンダント金,3,がくしゅう,3
アジア選抜,ごくじょうのおでん,40,力のペンダント金,3,シュートプラス,3
ブロッケンボーグ,ブロッケンウェア,30,ふくつのスパイク,30,ふくつのグローブ,20
ヨーロッパ選抜,マタドールフェイント,25,ガンショット,25,スニーキングレイド,25
グループＡ選抜,クロスファイア2,5,いかりのてっつい,15,セツヤク！,2
ザ・グレイトホーン,Gホーンウェア,30,バファナシューズ,30,バファナグローブ,20
南米選抜,ごくじょうのおでん,40,守りのペンダント金,3,ぞくせいきょうか,3
アメリカ大陸選抜,ペガサスショット,25,力のペンダント金,3,オフェンスプラス,3
ダミーエンペラーズ,ダークEウェア,30,守りのペンダント金,3,やみのシューズ,2
表と裏の王者,ファングウェア,20,ウエイクスパイク,30,リカバリー,3
ドッペルズ,せんしのウェア,20,ブレインスパイク,30,クリティカル！,2
ザ・ウッズ,こわもてウェア,10,力のペンダント金,3,ネバーギブアップ,5
ザ・マウンテンズ,シンメトリウェア,20,ザ・マウンテン,15,イケイケ！,5
ザ・キーパーズ,スティンガー,35,ムゲン・ザ・ハンド,15,キーパープラス,3
なりきり戦隊,しんしのウェア,15,守りのペンダント金,3,イカサマ！,3
ヤングイナズマ,でんせつのウェア,10,でんせつのスパイク,1,でんせつのグローブ,8
リアル・エイリア,りゅうせいブレード,15,スピリットシューズ,30,ぞくせいきょうか,3
ハリケーンズ,カームウェア,15,力のペンダント金,3,なまける,1
ダークエンジェル２,てんまのスパイク,10,ゴー・トゥ・ヘル,15,エンゼルボール,15
チャンピオン,ブイサインウェア,15,ウエイクスパイク,30,みんなイケイケ！,1
カオスエンジェルス,シャドウ・レイ,5,こんとんのスパイク,15,ふっかつ！,3
ダークエンペラーズ,ダークEウェア,10,やみのシューズ,2,うらぎりのグローブ,35
ピストンベリーズ,ひらめきウェア,15,ローズスプラッシュ,35,シュートフォース,1
十二天王,ライジングウェア,20,力のペンダント金,3,なまける,1
ザ・カード,ザ・カードウェア,20,カードチームグローブ,20,セツヤク！,2
イナズマ’１０,カミナリウェア,20,ザ・ハリケーン,15,ラッキー！,3
世界選抜,ブイサインウェア,15,ガンショット,25,キーパープラス,3
ウラ・ライモン,ゆうじょうのウェア,15,サンダースパイク,30,シュートフォース,1
稲妻ＫＦＣ,KFCウェア,30,稲妻ＫＦＣスパイク,50,稲妻ＫＦＣグローブ,35
ＦＦ地区選抜Ａ,ゆうじょうのウェア,15,力のペンダント金,3,ちょうわざ！,2
ＦＦ全国選抜Ａ,マーシャルウェア,20,守りのペンダント金,3,古びたピンバッチ,5
一番街サリーズ,サリーズウェア,20,サリーズシューズ,50,サリーズグローブ,35
全国チーム選抜Ａ,ブイサインウェア,15,力のペンダント金,3,ディフェンスフォース,1
ＬＥＶＥＬ－ＧＯ,レトロウェア,20,守りのペンダント金,3,こんしん！,3
イナズマ’０８,タイトポップウェア,10,サンダースパイク,30,リカバリー,3
円堂レッズ,スノーエンジェル,25,いかりのてっつい,15,ザ・マウンテン,15
雷門ＯＢ,とうこんのウェア,20,イナズマスパイク,1,イナズマグローブ,10
ベンチーズ１,せんしのウェア,20,グロウスパイク,30,キーパープラス,3
ベンチーズ２,じゅんじょうウェア,10,力のペンダント金,3,おいろけUP！,3
ベンチーズ３,タイトポップウェア,10,守りのペンダント金,3,ラッキー！,3
ベンチーズ４,カミナリウェア,20,力のペンダント金,3,ネバーギブアップ,5
○メガネ○Ａ,テクノウェア,15,ソウルシューズ,30,やくびょうがみ,4
キャッピキャピＢ,がんじょうウェア,10,守りのペンダント金,3,がくしゅう,3
モンスターズ,スカルウェア,10,力のペンダント金,3,クリティカル！,2
スペースボーイズ,ゼブラウェア,20,守りのペンダント金,3,こんしん！,3
デモンフェイセズ,フューチャーウェア,15,スピリットシューズ,30,スピードフォース,1
Ｏ・Ｔ・Ａ・Ｋ・Ｕ,テクノウェア,15,力のペンダント金,3,オフェンスフォース,1
ブリザードボンバー,D･ダストウェア,10,ひょうけつスパイク,30,オーロラハンド,20
ファンタジース,トリコロールウェア,20,守りのペンダント金,3,やくびょうがみ,4
ザ・ファイアーズ,ほのおのウェア,10,ばくねつスクリュー,15,イカサマ！,3
クールガイズ,セーラーウェア,10,守りのペンダント金,3,みんなイケイケ！,1
スピードスター,ライダースウェア,20,力のペンダント金,3,スピードプラス,5
クリアーゴ,マーシャルウェア,20,グロウスパイク,30,オフェンスプラス,3
リレーションズ,フューチャーウェア,15,力のペンダント金,3,ちょうわざ！,3
ザ・ディフェンズ,スニーキングレイド,25,しんくうま,25,ザ・マウンテン,15
ピエロチーム,テクノウェア,15,守りのペンダント金,3,ディフェンスプラス,3
真・パイレーツ,スカルウェア,10,ザ・タイフーン,25,がくしゅう,3
ベンチーズ５,ストライプウェア２,20,力のペンダント金,3,イケメンUP！,3
ベンチーズ６,セーラーウェア,10,力のペンダント金,3,むぞくせい,3
○メガネ○Ｂ,ひらめきウェア,15,守りのペンダント金,3,古びたピンバッチ,5
マスカレード,きぞくのウェア,20,力のペンダント金,3,オフェンスフォース,1
フドウヘッズ,スカルウェア,10,守りのペンダント金,3,イケメンUP！,3
キュート★スターズ,じゅんじょうウェア,10,ローズスプラッシュ,35,おいろけUP！,3
絶・世路死苦,こわもてウェア,10,しんくうま,25,むぞくせい,3
エル・マッチョス,ごくあくウェア,20,力のペンダント金,3,みんなイケイケ！,1
ＰＥＮＧＵＩＮ,ファングウェア,20,守りのペンダント金,3,こんしん！,3
スペシャルズ,SPウェア,15,力のペンダント金,3,ディフェンスプラス,3
スキルスターズ,いちばんぼしウェア,20,守りのペンダント金,3,セツヤク！,3
イケメンスパークス,カンフーウェア,20,守りのペンダント金,3,イケメンUP！,3
ウォーターボーイズ,ストリームウェア,20,ザ・タイフーン,25,こんしん！,3
キーパースターズ,ひらめきウェア,20,力のペンダント金,3,キーパープラス,3
イナズマレジェンド,でんせつのウェア,10,でんせつのスパイク,1,でんせつのグローブ,8
おいろけボンバーズ,大阪ギャルズウェア,15,守りのペンダント金,3,おいろけUP！,3
チャンプ２０１０,マタドールウェア,45,マタドールフェイント,25,スリングショット,25
ネオ雷門,フューチャーウェア,15,しんせだいシューズ,40,じせだいグローブ,20
真・世界選抜,ストライプウェア,20,Ｕ・ボート,25,タマシイ・ザ・ハンド,2
