item_id,stor_id
Leche,1
Agua mineral,1
Bola de arroz,1
Galleta,1
Botas frescas,2
Botas Umbrella,2
Botas Otaku,2
Calzado a cuadros,2
Guantes Otaku,2
Guantes reusados,2
Guantes Umbrella,2
Pulsera gastada,2
Pulsera recia,2
Tarjeta Ultra Zeus,3
Tarjeta Génesis,3
Tarjeta tenebrosa,3
Tarjeta Mundial,3
Llave club,3
Llave tienda chuches,3
Lanza letal,3
Cañon celestial,3
Golpe de samba,3
Descenso estelar,3
La aurora,3
Mandibulas dobles,3
Fuego supremo,3
Triángulo letal 2,3
La Tierra,3
Neo tiro galáctico,3
Lanza de Odín,3
Lluvia oscura montaña,3
Mangual letal,3
Disparo valiente,3
Balón diabólico,3
Sprint triple,3
Presa,3
Subida a los cielos,3
Malla eléctrica,3
Araña gigante,3
Destrozataladros,3
Constelación estelar,3
Botas frescas,3
Guantes reusados,3
Equipo Géminis,3
Equipo Épsilon,3
Equipo Génesis,3
Equipo Caos,3
Leche,4
Agua mineral,4
Agua isotónica,4
Bola de arroz,4
Galleta,4
Barrita,4
Leche,5
Agua mineral,5
Agua isotónica,5
Bola de arroz,5
Galleta,5
Barrita,5
Remate de Seguridad,5
Remate gafas,5
Patada canguro,5
Espejismo,5
Regate rítmico,5
Gravitación,5
Baile de llamas,5
Uñas afiladas,5
Mandril,5
Agujero negro,5
Lanzallamas,5
Botas mentales,5
Botas blancas,5
Botas Sallys,5
Botas frías,5
Guantes Sallys,5
Guantes en llamas,5
Guantes cucos 2,5
Guantes de dama,5
Pulsera juvenil,5
Pulsera de titanio,5
Pulsera amistad,5
Pulsera elegante,5
Supertrampolín Relámpago,6
Remate de Gaia,6
Fénix oscuro,6
Tiro galáctico,6
Potenciación,6
Trama,6
Torre perfecta,6
Muralla infinita,6
Trimano celestial,6
Muro dimensional,6
Botas sombrías,6
Botas de Dédalo,6
Guantes rebeldes,6
Guantes boscosos,6
Cosmopulsera,6
Leche,7
Agua mineral,7
Agua isotónica,7
Bola de arroz,7
Galleta,7
Barrita,7
Cabezazo megatón,7
Granada doble,7
Relámpago saltón,7
Bomba acrobática,7
Arcoiris Luminoso,7
Corte flamígero,7
Espejismo de balón,7
Bombazo,7
Sismo,7
Tormenta de pétalos,7
Escudo de Fuerza Total,7
Botas Umbrella,7
Botas mentales,7
Calzado a cuadros,7
Botas Sallys,7
Manoplas aéreas,7
Guantes Brain,7
Guantes de acero,7
Pulsera gastada,7
Pulsera juvenil,7
Pulsera recia,7
Pulsera amistad,7
Leche,8
Agua mineral,8
Bola de arroz,8
Galleta,8
Tiro pirueta,8
Cabezazo yoyó,8
Tiro del cometa,8
Niebla venenosa,8
Pared solitaria,8
Truco de magia,8
Pompa de chicle,8
Superpeonza,8
Embestida,8
Flash de fotones,8
Salto del cisne,8
Espiral de distorsión,8
Cabezonería,8
Botas Frescas,8
Botas Umbrella,8
Botas mentales,8
Botas Otaku,8
Calzado a cuadros,8
Botas térmicas,8
Guantes Otaku,8
Guantes juveniles,8
Guantes Brain,8
Microguantes,8
Pulsera gastada,8
Pulsera juvenil,8
Pulsera recia,8
Pulsera amistad,8
Leche,9
Agua mineral,9
Agua isotónica,9
Bola de arroz,9
Galleta,9
Barrita,9
Fideos,9
Botas blancas,10
Botas vendaval,10
Botas exitosas,10
Botas de currante,10
Botas diestras,10
Botas elegantes,10
Botas Osakaland,10
Guantes exitosos,10
Guantes en llamas,10
Guantes kung-fu,10
Pulsera gastada,10
Pulsera de titanio,10
Pulsera ígnea,10
Pulsera recia,10
Pulsera amistad,10
Pulsera de cachas,10
Botas vendaval,11
Botas ninja,11
Botas exitosas,11
Botas certeras,11
Botas elegantes,11
Botas perforadoras,11
Calzado penumbra,11
Guantes en llamas,11
Guantes de acero,11
Guantes de poder,11
Guantes del ocaso,11
Pulsera ígnea,11
Pulsera melocotón,11
Pulsera telúrica,11
Pulsera de cachas,11
Pulsera de fe,11
Pulsera jubilosa,11
Flecha divina,12
Zapatazo dual,12
Dragón terrestre,12
Baile de mariposas,12
Pingüino Emperador Nº 2,12
Pájaro de fuego,12
Paipay gigante,12
Descodificación,12
Acelerrelámpago,12
Carrera a tres Piernas,12
Campo torbellino,12
Cometa,12
Gran sabio,12
Puño vengativo,12
Defensa triple,12
Botas juveniles,13
Calzado estelar,13
Botas blancas,13
Botas vendaval,13
Botas térmicas,13
Calzado seguro,13
Botas de currante,13
Botas certeras,13
Guantes en llamas,13
Guantes de acero,13
Guantes de poder,13
Pulsera juvenil,13
Pulsera de titanio,13
Pulsera pasión,13
Pulsera amistad,13
Pulsera elegante,13
Leche,14
Agua mineral,14
Agua isotónica,14
Bola de arroz,14
Galleta,14
Barrita,14
Fideos,14
Tiro cegador,15
Tornado oscuro,15
Bateo total,15
Remate halcón,15
Trampolín relámpago,15
Técnica kung-fu,15
Remate combinado,15
Coz,15
Corte flamígero,15
Regate topo,15
Remolino cortante,15
Regate espejismo,15
Ciclón,15
Ataque sombrío,15
Torbellino,15
Despeje explosivo,15
Leche,16
Agua mineral,16
Agua isotónica,16
Agua medicinal,16
Bola de arroz,16
Galleta,16
Barrita,16
Chocolate,16
Fideos,16
Dragón terrestre,17
Tornado dragón,17
Torbellino trampolín,17
Remate en V,17
Remate guiverno,17
Golf total,17
Sorteo de balón,17
Avance flamígero,17
Acelerrelámpago,17
Mega terremoto,17
Ciclón doble,17
Dúo magma,17
Voltereta circense,17
Mano mágica montaña,17
Muralla tsunami,17
Leche,18
Agua mineral,18
Agua isotónica,18
Bola de arroz,18
Galleta,18
Barrita,18
Fideos,18
Botas juveniles,19
Calzado estelar,19
Botas blancas,19
Botas vendaval,19
Botas ninja,19
Botas de currante,19
Botas certeras,19
Botas diestras,19
Guantes exitosos,19
Guantes en llamas,19
Guantes de acero,19
Guantes de poder,19
Pulsera pasión,19
Pulsera ígnea,19
Pulsera elegante,19
Pulsera de cachas,19
Astro remate,20
Súper relámpago,20
Rayo de Ganímedes,20
Remate tsunami,20
Disparo con rebotes,20
Coz,20
Regate topo,20
Tornado venenoso,20
Prima donna,20
Ciclón,20
Ataque sombrío,20
Olor embriagador,20
Zona de seguridad,20
Campo de fuerza defensivo,20
Lanzallamas,20
Muralla de escudos,20
Escudo protector,20
Botas frescas,21
Botas juveniles,21
Calzado a cuadros,21
Botas térmicas,21
Botas frías,21
Manoplas aéreas,21
Guantes norteños,21
Pulsera gastada,21
Pulsera juvenil,21
Pulsera recia,21
Pulsera amistad,21
Leche,22
Agua mineral,22
Agua isotónica,22
Bola de arroz,22
Galleta,22
Ataque cóndor,23
Bola de fango,23
Chut de los 100 toques,23
Ataque meteorito,23
Chut congelante,23
Ventisca eterna,23
Torbellino dragón,23
Superarmadillo,23
Escáner ataque,23
Luna creciente,23
Regate aurora,23
Ataque afilado,23
Paisaje helado,23
Superpisotón de sumo,23
Bola falsa,23
Escudo de fuerza,23
Despeje cohete,23
Garra salvaje,23
Cortina aurora,23
Leche,24
Agua mineral,24
Agua isotónica,24
Bola de arroz,24
Galleta,24
Barrita,24
Mapa de Osakaland,24
Botas frescas,25
Botas juveniles,25
Botas térmicas,25
Calzado seguro,25
Manoplas aéreas,25
Guantes juveniles,25
Guantes exitosos,25
Microguantes,25
Guantes cucos 2,25
Pulsera juvenil,25
Pulsera de titanio,25
Pulsera recia,25
Pulsera amistad,25
Pulsera elegante,25
Tornado de fuego,26
Pase cruzado,26
Balón rodante,26
Remate misil,26
Cabezazo Kung-Fu,26
Tiro dinamita,26
Tornado inverso,26
Tiro torre de Osaka,26
Confusión,26
Zigzag chispeante,26
Regate rítmico,26
Corte giratorio,26
Telaraña,26
Mano celestial montaña,26
Campo de fuerza defensivo,26
Tormenta de pétalos,26
Deslizamiento,26
Leche,27
Agua mineral,27
Agua isotónica,27
Bola de arroz,27
Galleta,27
Barrita,27
Fideos,27
Leche,28
Agua mineral,28
Agua isotónica,28
Bola de arroz,28
Galleta,28
Barrita,28
Fideos,28
Leche,29
Agua mineral,29
Agua isotónica,29
Bola de arroz,29
Galleta,29
Barrita,29
Fideos,29
Leche,30
Agua mineral,30
Agua isotónica,30
Bola de arroz,30
Galleta,30
Barrita,30
Fideos,30
Leche,31
Agua mineral,31
Agua isotónica,31
Bola de arroz,31
Galleta,31
Barrita,31
Fideos,31
Leche,32
Agua mineral,32
Agua isotónica,32
Agua medicinal,32
Bebida especial,32
Bola de arroz,32
Galleta,32
Barrita,32
Chocolate,32
Barrita especial,32
Fideos,32
Pinchito supremo,32
Ruptura relámpago,33
Triángulo Z,33
Tri-Pegaso,33
Pingüino Emperador Nº 1,33
Empuje trillizo,33
Coz 2,33
Carrera a tres Piernas,33
Hora celestial,33
Tuya-mía doble,33
Vendimia,33
Flecha huracán,33
Escudo corporal,33
Colmillo de pantera,33
Botas de halcón,34
Calzado motero,34
Botas congelantes,34
Botas ardientes,34
Botas viles,34
Botas flamígeras,34
Guantes naturales,34
Guantes ardientes,34
Manoplas de estío,34
Manoplas Big Bang,34
Pulsera telúrica,34
Pulsera ardiente,34
Pulsera Inazuma,34
Pulsera de fe,34
Pulsera jubilosa,34
Pulsera exótica,34
Leche,35
Agua mineral,35
Agua isotónica,35
Agua medicinal,35
Bebida especial,35
Bola de arroz,35
Galleta,35
Barrita,35
Chocolate,35
Barrita especial,35
Fideos,35
Pinchito supremo,35
Botas de Pegaso,36
Botas de halcón,36
Calzado motero,36
Botas perforadoras,36
Botas ardientes,36
Botas viles,36
Guantes triunfo,36
Guantes naturales,36
Guantes del fín,36
Manoplas de estío,36
Pulsera exitosa,36
Pulsera telúrica,36
Pulsera ardiente,36
Pulsera de fe,36
Pulsera jubilosa,36
Aullido de lobo,37
Empuje gemelo F,37
Coz 2,37
Rueda infernal,37
Aikido,37
Hora celestial,37
Robo planeta,37
Bloqueo ballena,37
Emboscada defensiva,37
Superpuño invencible,37
Bloqueo doble,37
Defensa triple,37
Muralla gigante,37
Botas vendaval,38
Botas ligeras,38
Botas de Pegaso,38
Botas certeras,38
Botas elegantes,38
Botas perforadoras,38
Guantes en llamas,38
Guantes de acero,38
Guantes triunfo,38
Guantes naturales,38
Pulsera ígnea,38
Pulsera melocotón,38
Pulsera de cachas,38
Pulsera de fe,38
Leche,39
Agua mineral,39
Agua isotónica,39
Agua medicinal,39
Bola de arroz,39
Galleta,39
Barrita,39
Chocolate,39
Fideos,39
Mapa de Fukuoka,39
Tarjeta Zeus,39
Remate en V,40
Disparo cósmico,40
Fénix,40
Regate múltiple,40
Sorteo de balón,40
Entrada tormenta,40
Armadillo circense,40
Ciclón doble,40
Dúo magma,40
Cometa,40
Voltereta circense,40
Puño vengativo,40
Simún,40
Parada multiple,40
Puños voladores,40
Zapatazo dual,41
Torbellino trampolín,41
Baile de mariposas,41
Remate guiverno,41
Paipay gigante,41
Descodificación,41
Regate multiple,41
Avance flamígero,41
Torre inexpugnable,41
Defensa multiple,41
Apisonadora,41
Mega terremoto,41
Mano mágica montaña,41
Muralla de escudos,41
Simún,41
Leche,42
Agua mineral,42
Agua isotónica,42
Agua medicinal,42
Bola de arroz,42
Galleta,42
Barrita,42
Chocolate,42
Fideos,42
Botas blancas,43
Botas vendaval,43
Calzado mariscal,43
Botas ligeras,43
Botas de currante,43
Botas certeras,43
Botas elegantes,43
Guantes frescos,43
Guantes exitosos,43
Guantes en llamas,43
Guantes de acero,43
Guantes naturales,43
Pulsera pasión,43
Pulsera ígnea,43
Pulsera elegante,43
Pulsera de cachas,43
Leche,44
Agua mineral,44
Agua isotónica,44
Agua medicinal,44
Bola de arroz,44
Galleta,44
Barrita,44
Chocolate,44
Fideos,44
Pinchito supremo,44
Triángulo letal,45
Tornado doble,45
Ventisca guiverno,45
Remate del águila,45
Rueda infernal,45
Entrada tormenta,45
Aikido,45
Armadillo circense,45
Campo torbellino,45
Cinto Astral,45
Aplanadora,45
Superpuño invencible,45
Parada múltiple,45
Puños voladores,45
Bloqueo doble,45
Botas ligeras,46
Botas de Pegaso,46
Botas de halcón,46
Botas elegantes,46
Botas perforadoras,46
Botas ardientes,46
Guantes de acero,46
Guantes triunfo,46
Guantes naturales,46
Guantes ardientes,46
Guantes del fin,46
Pulsera melocotón,46
Pulsera exitosa,46
Pulsera de cachas,46
Pulsera de fe,46
Leche,47
Agua mineral,47
Agua isotónica,47
Agua medicinal,47
Bola de arroz,47
Galleta,47
Barrita,47
Fideos,47
Chut de los 200 toques,48
Remate asalto,48
Cañón dragón,48
Golf total,48
Teleportación,48
Lluvia de meteoros,48
Zona de seguridad,48
Gravedad grave,48
Escudo protector,48
Agujero de gusano,48
Muralla tsunami,48
Botas juveniles,49
Botas blancas,49
Botas vendaval,49
Calzado seguro,49
Botas de currante,49
Botas diestras,49
Guantes juveniles,49
Guantes exitosos,49
Guantes de acero,49
Guantes triunfo,49
Pulsera de titanio,49
Pulsera pasión,49
Pulsera amistad,49
Pulsera elegante,49
Leche,50
Agua mineral,50
Agua isotónica,50
Bola de arroz,50
Galleta,50
Barrita,50
Fideos,50
Ventisca Eterna,51
Tornado dragón,51
Remate múltiple,51
Tacón infernal,51
Regate aurora,51
Olor embriagador,51
Torre inexpugnable,51
Defensa múltiple,51
Gravedad grave,51
Corte volcánico,51
Cortina aurora,51
Agujero de gusano,51
Botas juveniles,52
Botas blancas,52
Calzado mariscal,52
Botas ligeras,52
Botas de currante,52
Botas certeras,52
Guantes juveniles,52
Guantes frescos,52
Guantes en llamas,52
Guantes cucos 2,52
Pulsera de titanio,52
Pulsera pasión,52
Pulsera exitosa,52
Pulsera elegante,52
Pulsera de cachas,52
Remate de Gaia,53
Disparo sagrado,53
Coz 3,53
Potenciación,53
Torre perfecta,53
Muralla infinita,53
Trimano celestial,53
Muro dimensional,53
Botas sombrías,53
Botas legendarias,53
Botas de Dédalo,53
Botas Inazuma,53
Cosmopulsera,53
Pulsera genial,53
Llamarada Infernal,54
Puerta Astral,54
Círculo de Espadas,54
Ignición,54
Cruz del Sur,54
Dientes de Roca,54
Gran Barrera de Coral,54
Repaso,54
Vagueza,54
